,comercio_id,mes_operacion,estado,moneda,num_transacciones,monto_transaccion,monto_contracargo_venta
353,41,01/07/21,ERROR,MXN,32,17038.1,0.0
354,41,01/08/21,COMPLETED,MXN,"32,685",13697916.16,64140.0
355,41,01/08/21,FAILED,MXN,"12,172",6727960.4,0.0
356,41,01/08/21,IN_PROGRESS,MXN,"1,917",823552.82,0.0
357,41,01/08/21,ERROR,MXN,6,5632.0,0.0
358,42,01/07/21,IN_PROGRESS,MXN,"25,743",31310571.44,0.0
359,42,01/07/21,CANCELLED,MXN,"12,269",14427212.97,0.0
360,42,01/07/21,COMPLETED,MXN,"1,919",2492236.87,0.0
361,42,01/07/21,FAILED,MXN,986,1138182.82,0.0
362,42,01/08/21,IN_PROGRESS,MXN,"30,268",44574855.36,0.0
363,42,01/08/21,CANCELLED,MXN,"10,090",15100759.69,0.0
364,42,01/08/21,COMPLETED,MXN,"2,485",3892769.36,0.0
365,42,01/08/21,FAILED,MXN,934,1360678.64,0.0
366,43,01/07/21,COMPLETED,MXN,"28,504",66232242.46,629477.08
367,43,01/07/21,FAILED,MXN,"19,243",47387234.51,0.0
368,43,01/07/21,CANCELLED,MXN,"1,168",3224579.34,0.0
369,43,01/07/21,ERROR,MXN,22,50041.96,0.0
370,43,01/08/21,COMPLETED,MXN,"21,243",53224090.02,813961.8
371,43,01/08/21,FAILED,MXN,"12,201",32425483.61,0.0
372,43,01/08/21,CANCELLED,MXN,709,2153829.76,0.0
373,43,01/08/21,ERROR,MXN,6,13398.63,0.0
374,44,01/07/21,COMPLETED,MXN,"19,901",1670813.2,120136.35
375,44,01/07/21,FAILED,MXN,"18,158",2357315.05,0.0
376,44,01/07/21,ERROR,MXN,30,3682.6,0.0
377,44,01/07/21,CANCELLED,MXN,1,1.0,0.0
378,44,01/08/21,COMPLETED,MXN,"23,422",1682080.75,115962.35
379,44,01/08/21,FAILED,MXN,"21,441",2693603.35,0.0
380,44,01/08/21,ERROR,MXN,9,870.95,0.0
381,44,01/08/21,CANCELLED,MXN,7,384730.64,0.0
382,45,01/07/21,COMPLETED,MXN,"27,988",9009903.0,158047.0
383,45,01/07/21,FAILED,MXN,"15,648",6229201.45,0.0
384,45,01/07/21,ERROR,MXN,54,20559.0,0.0
385,45,01/08/21,COMPLETED,MXN,"23,349",7454832.71,154645.0
386,45,01/08/21,FAILED,MXN,"13,988",6407092.35,0.0
387,45,01/08/21,ERROR,MXN,5,900.0,0.0
388,46,01/07/21,COMPLETED,MXN,"30,376",36439866.14,0.0
389,46,01/07/21,FAILED,MXN,"5,399",12541086.72,0.0
390,46,01/07/21,CANCELLED,MXN,34,33947.0,0.0
391,46,01/08/21,COMPLETED,MXN,"31,446",40685284.43,0.0
392,46,01/08/21,FAILED,MXN,"9,192",15491307.31,0.0
393,46,01/08/21,CANCELLED,MXN,6,11250.0,0.0
394,47,01/07/21,COMPLETED,MXN,"20,110",1912361.51,76198.25
395,47,01/07/21,FAILED,MXN,"16,180",1890835.6,0.0
396,47,01/07/21,ERROR,MXN,21,2331.8,0.0
397,47,01/08/21,COMPLETED,MXN,"22,512",1880882.91,69739.15
398,47,01/08/21,FAILED,MXN,"16,467",1758787.05,0.0
